Time, Total_network's_Belief, Total_network's_Disbelief, Total_network's_Uncertainty
70.0 0.25 0.25 0.5
140.0 0.932703 0.066476 0.000883
210.0 0.856161 0.142275 0.00165
280.0 0.78541 0.214285 0.000387
350.0 0.760287 0.239665 0.000131
420.0 0.756779 0.243204 0.000103
490.0 0.760856 0.239132 0.0001
70.0 0.25 0.25 0.5
140.0 0.932703 0.066476 0.000883
210.0 0.856161 0.142275 0.00165
280.0 0.78541 0.214285 0.000387
350.0 0.760287 0.239665 0.000131
420.0 0.756779 0.243204 0.000103
490.0 0.760856 0.239132 0.0001
70.0 0.25 0.25 0.5
140.0 0.932703 0.066476 0.000883
210.0 0.856161 0.142275 0.00165
280.0 0.78541 0.214285 0.000387
350.0 0.760287 0.239665 0.000131
420.0 0.756779 0.243204 0.000103
490.0 0.760856 0.239132 0.0001
70.0 0.25 0.25 0.5
140.0 0.932703 0.066476 0.000883
210.0 0.856161 0.142275 0.00165
280.0 0.78541 0.214285 0.000387
350.0 0.760287 0.239665 0.000131
420.0 0.756779 0.243204 0.000103
490.0 0.760856 0.239132 0.0001
70.0 0.25 0.25 0.5
140.0 0.932703 0.066476 0.000883
210.0 0.856161 0.142275 0.00165
280.0 0.78541 0.214285 0.000387
350.0 0.760287 0.239665 0.000131
420.0 0.756779 0.243204 0.000103
490.0 0.760856 0.239132 0.0001
70.0 0.25 0.25 0.5
140.0 0.932703 0.066476 0.000883
210.0 0.856161 0.142275 0.00165
280.0 0.78541 0.214285 0.000387
350.0 0.760287 0.239665 0.000131
420.0 0.756779 0.243204 0.000103
490.0 0.760856 0.239132 0.0001
70.0 0.25 0.25 0.5
140.0 0.932703 0.066476 0.000883
210.0 0.856161 0.142275 0.00165
280.0 0.78541 0.214285 0.000387
350.0 0.760287 0.239665 0.000131
420.0 0.756779 0.243204 0.000103
490.0 0.760856 0.239132 0.0001
70.0 0.25 0.25 0.5
140.0 0.932703 0.066476 0.000883
210.0 0.856161 0.142275 0.00165
280.0 0.78541 0.214285 0.000387
350.0 0.760287 0.239665 0.000131
420.0 0.756779 0.243204 0.000103
490.0 0.760856 0.239132 0.0001
70.0 0.25 0.25 0.5
140.0 0.932703 0.066476 0.000883
210.0 0.856161 0.142275 0.00165
280.0 0.78541 0.214285 0.000387
350.0 0.760287 0.239665 0.000131
420.0 0.756779 0.243204 0.000103
490.0 0.760856 0.239132 0.0001
